;;1 = active;0 = inactive;;;;;;;;;;;;;;;;;
name;household;Clean;Communications;Cook;Cool;DHW;EMS;Entertainment;Fridge;Heat;Hot water;Light;Logistics;Security;Smart;Telework;Travel;Ventilation;Water;White
MF4-4;MF4-4;1;0;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0
MF4-5;MF4-5;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1
MF4-6;MF4-6;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0
MF5-1;MF5-1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0
MF5-2;MF5-2;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0
MF5-3;MF5-3;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0
MF5-4;MF5-4;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0
MF5-5;MF5-5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
MF5-6;MF5-6;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0
MF6-1;MF6-1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1
MF6-2;MF6-2;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1
MF6-3;MF6-3;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0
MF6-4;MF6-4;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1
MF6-5;MF6-5;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;1;0
MF6-6;MF6-6;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1
MF7-1;MF7-1;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0
MF7-2;MF7-2;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0
MF7-3;MF7-3;0;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1
MF7-4;MF7-4;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1
MF7-5;MF7-5;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1
MF7-6;MF7-6;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0
MF7-7;MF7-7;1;0;1;0;1;1;0;0;1;0;1;1;1;0;1;0;0;1;0
MF7-8;MF7-8;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
MF8-1;MF8-1;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;1
MF8-2;MF8-2;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0
MF8-3;MF8-3;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1
MF8-4;MF8-4;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0
MF8-5;MF8-5;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;0
MF8-6;MF8-6;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0
MF8-7;MF8-7;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1
MF8-8;MF8-8;1;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1
MF8-9;MF8-9;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1
MF8-10;MF8-10;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0
